Date : 2026-06-09 22:04:17
Directory : c:\Users\Keagan\.openclaw\workspace
Total : 253 files,  69814 codes, 3072 comments, 6836 blanks, all 79722 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| wysl\src\dashboard-v2\components\StatusBar                                                             |          1 |          4 |          0 |          2 |          6 |
| wysl\src\dashboard-v2\components\SubMenu                                                               |          1 |         18 |          0 |          3 |         21 |
| wysl\src\dashboard-v2\layout                                                                           |          1 |        130 |          0 |          8 |        138 |
| wysl\src\dashboard-v2\pages                                                                            |         10 |      1,617 |          7 |        169 |      1,793 |
| wysl\src\dashboard-v2\pages (Files)                                                                    |          4 |         20 |          0 |         12 |         32 |
| wysl\src\dashboard-v2\pages\CRM                                                                        |          1 |         22 |          0 |          2 |         24 |
| wysl\src\dashboard-v2\pages\Nest                                                                       |          1 |         22 |          0 |          2 |         24 |
| wysl\src\dashboard-v2\pages\ScenarioBuilder                                                            |          3 |      1,531 |          7 |        151 |      1,689 |
| wysl\src\dashboard-v2\pages\Scenarios                                                                  |          1 |         22 |          0 |          2 |         24 |
| wysl\src\dashboard-v2\styles                                                                           |          1 |        361 |          0 |         46 |        407 |
| wysl\src\data                                                                                          |          2 |         67 |          2 |          4 |         73 |
| wysl\src\hooks                                                                                         |          1 |        135 |          5 |         10 |        150 |
| wysl\src\pages                                                                                         |         16 |      5,260 |        134 |        601 |      5,995 |
| wysl\src\services                                                                                      |          1 |         11 |          4 |          4 |         19 |
| wysl\src\sonar                                                                                         |         33 |     27,003 |        566 |      2,431 |     30,000 |
| wysl\src\sonar (Files)                                                                                 |          1 |      2,035 |         14 |        167 |      2,216 |
| wysl\src\sonar\contexts                                                                                |          2 |        257 |          0 |         29 |        286 |
| wysl\src\sonar\hooks                                                                                   |          4 |        915 |         34 |        107 |      1,056 |
| wysl\src\sonar\lib                                                                                     |          6 |      1,446 |         55 |        180 |      1,681 |
| wysl\src\sonar\pages                                                                                   |         20 |     22,350 |        463 |      1,948 |     24,761 |
| wysl\src\sonar\pages (Files)                                                                           |         15 |     10,545 |        170 |        810 |     11,525 |
| wysl\src\sonar\pages\Scenarios                                                                         |          5 |     11,805 |        293 |      1,138 |     13,236 |
| wysl\src\stores                                                                                        |          1 |         86 |          9 |         15 |        110 |
| wysl\src\styles                                                                                        |         23 |      4,644 |        195 |        575 |      5,414 |
| wysl\src\utils                                                                                         |          2 |         90 |         10 |         11 |        111 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                               | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Keagan\.openclaw\workspace\.openclaw\workspace-state.json                                     | JSON             |          5 |          0 |          1 |          6 |
| c:\Users\Keagan\.openclaw\workspace\.vite\deps\_metadata.json                                          | JSON             |          8 |          0 |          0 |          8 |
| c:\Users\Keagan\.openclaw\workspace\.vite\deps\package.json                                            | JSON             |          3 |          0 |          1 |          4 |
| c:\Users\Keagan\.openclaw\workspace\AGENTS.md                                                          | Markdown         |         55 |          0 |         15 |         70 |
| c:\Users\Keagan\.openclaw\workspace\HEARTBEAT.md                                                       | Markdown         |          1 |          0 |          1 |          2 |
| c:\Users\Keagan\.openclaw\workspace\IDENTITY.md                                                        | Markdown         |          7 |          0 |          1 |          8 |
| c:\Users\Keagan\.openclaw\workspace\SOUL.md                                                            | Markdown         |        107 |          0 |         24 |        131 |
| c:\Users\Keagan\.openclaw\workspace\TOOLS.md                                                           | Markdown         |         82 |          0 |         26 |        108 |
| c:\Users\Keagan\.openclaw\workspace\USER.md                                                            | Markdown         |         25 |          0 |          5 |         30 |
| c:\Users\Keagan\.openclaw\workspace\skills\discord\SKILL.md                                            | Skill            |        116 |          0 |         34 |        150 |
| c:\Users\Keagan\.openclaw\workspace\skills\discord\references\channels.md                              | Markdown         |         15 |          0 |          4 |         19 |
| c:\Users\Keagan\.openclaw\workspace\skills\discord\scripts\discord.ps1                                 | PowerShell       |        102 |          2 |         10 |        114 |
| c:\Users\Keagan\.openclaw\workspace\skills\discord\scripts\temp_briefing.ps1                           | PowerShell       |         12 |          0 |          5 |         17 |
| c:\Users\Keagan\.openclaw\workspace\skills\outlook-mail\SKILL.md                                       | Skill            |        162 |          0 |         59 |        221 |
| c:\Users\Keagan\.openclaw\workspace\skills\outlook-mail\references\microsoft-docs.md                   | Markdown         |         17 |          0 |          5 |         22 |
| c:\Users\Keagan\.openclaw\workspace\skills\outlook-mail\scripts\create-outlook-mail-app.ps1            | PowerShell       |         95 |          0 |         26 |        121 |
| c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\SKILL.md                                       | Skill            |        109 |          0 |         38 |        147 |
| c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\references\schema.md                           | Markdown         |         89 |          0 |         11 |        100 |
| c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\agents.ps1                             | PowerShell       |         28 |          0 |          3 |         31 |
| c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\campaigns.ps1                          | PowerShell       |         55 |          0 |          3 |         58 |
| c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\leads.ps1                              | PowerShell       |         48 |          0 |          3 |         51 |
| c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\reactions.ps1                          | PowerShell       |         28 |          0 |          3 |         31 |
| c:\Users\Keagan\.openclaw\workspace\skills\supabase-api\scripts\tasks.ps1                              | PowerShell       |         47 |          0 |          3 |         50 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\config.py                                             | Python           |         86 |          9 |         23 |        118 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\dependencies.py                                       | Python           |         33 |          3 |          6 |         42 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\env_loader.py                                         | Python           |          8 |          1 |          5 |         14 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\local_scheduler.py                                    | Python           |         51 |         11 |         11 |         73 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\main.py                                               | Python           |      6,615 |      1,687 |        852 |      9,154 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\models.py                                             | Python           |        402 |         47 |         90 |        539 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\requirements.txt                                      | pip requirements |         11 |          0 |          1 |         12 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\scenario_engine.py                                    | Python           |      2,160 |          0 |        217 |      2,377 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\stripe_manager.py                                     | Python           |        213 |          3 |         30 |        246 |
| c:\Users\Keagan\.openclaw\workspace\wysl\backend\test_elevenlabs_number.py                             | Python           |        227 |          2 |         42 |        271 |
| c:\Users\Keagan\.openclaw\workspace\wysl\color.js                                                      | JavaScript       |         23 |          0 |          2 |         25 |
| c:\Users\Keagan\.openclaw\workspace\wysl\gemini.md                                                     | Markdown         |          4 |          0 |          0 |          4 |
| c:\Users\Keagan\.openclaw\workspace\wysl\index.html                                                    | HTML             |         28 |          2 |          4 |         34 |
| c:\Users\Keagan\.openclaw\workspace\wysl\package-lock.json                                             | JSON             |      8,433 |          0 |          1 |      8,434 |
| c:\Users\Keagan\.openclaw\workspace\wysl\package.json                                                  | JSON             |         61 |          0 |          1 |         62 |
| c:\Users\Keagan\.openclaw\workspace\wysl\postcss.config.js                                             | JavaScript       |          6 |          0 |          1 |          7 |
| c:\Users\Keagan\.openclaw\workspace\wysl\render.yaml                                                   | YAML             |         34 |          7 |          3 |         44 |
| c:\Users\Keagan\.openclaw\workspace\wysl\requirements.txt                                              | pip requirements |         20 |          0 |          1 |         21 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_account_settings_autonomy_index.sql                   | MS SQL           |          7 |          0 |          3 |         10 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_business_forwarding_config.sql                        | MS SQL           |          2 |          0 |          1 |          3 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_business_number_purchase_fields.sql                   | MS SQL           |          4 |          0 |          1 |          5 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_business_people_field_config.sql                      | MS SQL           |          2 |          0 |          1 |          3 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_elevenlabs_phone_number_id_to_businesses.sql          | MS SQL           |          2 |          0 |          1 |          3 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_gender_to_hired_receptionists.sql                     | MS SQL           |          7 |          0 |          2 |          9 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_people_custom_fields.sql                              | MS SQL           |         23 |          3 |          5 |         31 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_receptionist_call_metrics.sql                         | MS SQL           |         67 |          0 |          2 |         69 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\add_stripe_integration_provider.sql                       | MS SQL           |          5 |          0 |          2 |          7 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\allow_appointment_missed_status.sql                       | MS SQL           |         15 |          2 |          3 |         20 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\allow_select_people_schema_field_types.sql                | MS SQL           |          5 |          0 |          2 |          7 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\create_call_logs.sql                                      | MS SQL           |         96 |          0 |         11 |        107 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\create_integrations.sql                                   | MS SQL           |         91 |          0 |         16 |        107 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\create_jobs.sql                                           | MS SQL           |         65 |          0 |          6 |         71 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\create_scenario_events.sql                                | MS SQL           |         14 |          0 |          4 |         18 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\emit_appointment_missed_trigger.sql                       | MS SQL           |         32 |          2 |          5 |         39 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\fix_account_settings_multi_tenant.sql                     | MS SQL           |        107 |          0 |         18 |        125 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\live_monitoring_realtime.sql                              | MS SQL           |         30 |          3 |          7 |         40 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\make_people_booleans_nullable_default.sql                 | MS SQL           |          7 |          0 |          1 |          8 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\people_schema_rls.sql                                     | MS SQL           |         57 |          0 |          5 |         62 |
| c:\Users\Keagan\.openclaw\workspace\wysl\sql\supabase_user_profile_trigger.sql                         | MS SQL           |        146 |          0 |          3 |        149 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\App.jsx                                                   | JavaScript JSX   |         80 |          5 |         21 |        106 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\assets\stripe.svg                                         | XML              |          5 |          0 |          1 |          6 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\AES256Stats.jsx                                | JavaScript JSX   |         93 |         19 |         19 |        131 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\AnimationEngine.jsx                            | JavaScript JSX   |         70 |          4 |         10 |         84 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\AnimationProvider.jsx                          | JavaScript JSX   |        291 |          4 |         31 |        326 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\Breakroom.jsx                                  | JavaScript JSX   |        180 |          4 |         20 |        204 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CalendarShowcase.jsx                           | JavaScript JSX   |        224 |          8 |         13 |        245 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\AgentSelectorModal.jsx         | JavaScript JSX   |        151 |          5 |         13 |        169 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\CampaignBuilderPage.jsx        | JavaScript JSX   |         51 |          3 |         10 |         64 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\CampaignConfigPanel.jsx        | JavaScript JSX   |         85 |          2 |         10 |         97 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\ConditionalSchedulerModule.jsx | JavaScript JSX   |        193 |          9 |         21 |        223 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\FilterBuilder.jsx              | JavaScript JSX   |        287 |          2 |         17 |        306 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\LowerToolbar.jsx               | JavaScript JSX   |        180 |          4 |         17 |        201 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\MainAudienceFilterModule.jsx   | JavaScript JSX   |         92 |          0 |         11 |        103 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\PriorityModule.jsx             | JavaScript JSX   |        106 |          8 |         16 |        130 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\RuleBlock.jsx                  | JavaScript JSX   |         60 |          1 |          8 |         69 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\RuleBlockStack.jsx             | JavaScript JSX   |         38 |          1 |          8 |         47 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\RuleSummary.jsx                | JavaScript JSX   |         22 |          1 |          8 |         31 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\CampaignBuilder\SchedulerModule.jsx            | JavaScript JSX   |         26 |          1 |          7 |         34 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\DashboardLoadingScreen.css                     | PostCSS          |        107 |         11 |         17 |        135 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\DashboardLoadingScreen.jsx                     | JavaScript JSX   |         57 |          1 |          8 |         66 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\FullscreenLayout.jsx                           | JavaScript JSX   |          6 |          1 |          3 |         10 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\HeroConcept.jsx                                | JavaScript JSX   |        264 |         14 |         27 |        305 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\IntroOverlay.jsx                               | JavaScript JSX   |         40 |          8 |          9 |         57 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\MasterNav.jsx                                  | JavaScript JSX   |        116 |          1 |         12 |        129 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\MoneyTable.jsx                                 | JavaScript JSX   |        558 |         40 |        102 |        700 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\NavPanel.jsx                                   | JavaScript JSX   |         48 |          2 |          7 |         57 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\ProtectedLayout.jsx                            | JavaScript JSX   |         14 |          1 |          7 |         22 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\ReferralHandler.jsx                            | JavaScript JSX   |         13 |          3 |          5 |         21 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\SplashScreen.jsx                               | JavaScript JSX   |         46 |          6 |         10 |         62 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\TypingAnimation.jsx                            | JavaScript JSX   |         58 |         26 |         17 |        101 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\TypingIndicator.jsx                            | JavaScript JSX   |         12 |          1 |          3 |         16 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\AccountSettings.jsx                  | JavaScript JSX   |        238 |          8 |         40 |        286 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\AirtableGrid.jsx                     | JavaScript JSX   |        168 |          6 |         11 |        185 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\ConfigPanel.jsx                      | JavaScript JSX   |         66 |          2 |          8 |         76 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\DraggableHeader.jsx                  | JavaScript JSX   |         40 |          3 |          5 |         48 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\FilterPanel.jsx                      | JavaScript JSX   |         69 |          2 |          9 |         80 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\GridCells.jsx                        | JavaScript JSX   |        226 |          1 |         22 |        249 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\MainPanel.jsx                        | JavaScript JSX   |         18 |          1 |          3 |         22 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\NavPanel.jsx                         | JavaScript JSX   |         86 |          1 |          7 |         94 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\QueueItem.jsx                        | JavaScript JSX   |         97 |          3 |         12 |        112 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\QueueRoom.jsx                        | JavaScript JSX   |         70 |          2 |         10 |         82 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\ViewBar.jsx                          | JavaScript JSX   |         25 |          1 |          5 |         31 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\dashboard\ViewToggle.jsx                       | JavaScript JSX   |         27 |          0 |          3 |         30 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\BreakroomLoginModal.jsx                 | JavaScript JSX   |         88 |         11 |         14 |        113 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\BreezyIntroModal.css                    | PostCSS          |        105 |          2 |         17 |        124 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\BreezyIntroModal.jsx                    | JavaScript JSX   |         56 |          1 |          4 |         61 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\ChangeMasterPinModal.jsx                | JavaScript JSX   |        255 |          0 |         26 |        281 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\ChangeNameModal.jsx                     | JavaScript JSX   |         52 |          1 |          6 |         59 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\CommissionLogicModal.jsx                | JavaScript JSX   |         79 |          0 |          6 |         85 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\ConfirmationModal.jsx                   | JavaScript JSX   |         19 |          0 |          2 |         21 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\ContactUsModal.jsx                      | JavaScript JSX   |        123 |          2 |         10 |        135 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\CreatePasswordModal.jsx                 | JavaScript JSX   |        982 |         25 |        130 |      1,137 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\DeleteAccountModal.jsx                  | JavaScript JSX   |         69 |          0 |          3 |         72 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\DeviceInfoModal.css                     | PostCSS          |        125 |          1 |         20 |        146 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\DeviceInfoModal.jsx                     | JavaScript JSX   |        113 |          1 |         15 |        129 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\FAQModal.jsx                            | JavaScript JSX   |         67 |          0 |          4 |         71 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\InitialMasterPasswordSetupModal.jsx     | JavaScript JSX   |        202 |          2 |         22 |        226 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\LimitReachedModal.css                   | PostCSS          |         79 |          2 |         12 |         93 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\LimitReachedModal.jsx                   | JavaScript JSX   |         40 |          1 |          3 |         44 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\ManageSubscriptionModal.jsx             | JavaScript JSX   |         90 |          1 |         11 |        102 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\MasterPasswordModal.jsx                 | JavaScript JSX   |        152 |          2 |         17 |        171 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\OAuthAccountModal.jsx                   | JavaScript JSX   |        258 |          9 |         22 |        289 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\OAuthAccountSelectionModal.jsx          | JavaScript JSX   |         61 |          0 |          7 |         68 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\OAuthSelectionModal.jsx                 | JavaScript JSX   |         68 |          1 |          6 |         75 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\PlanChangePopupModal.css                | PostCSS          |         89 |          2 |         15 |        106 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\PlanChangePopupModal.jsx                | JavaScript JSX   |         80 |          1 |          5 |         86 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\SavedAccountsModal.jsx                  | JavaScript JSX   |         45 |          0 |          4 |         49 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\SwiperIntroModal.css                    | PostCSS          |        155 |          2 |         20 |        177 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\SwiperIntroModal.jsx                    | JavaScript JSX   |         82 |          1 |          8 |         91 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\TutorialModal.css                       | PostCSS          |        138 |          2 |         17 |        157 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\TutorialModal.jsx                       | JavaScript JSX   |         73 |          1 |          6 |         80 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\modals\UpdateBillingInfoModal.jsx              | JavaScript JSX   |         30 |          1 |          6 |         37 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\components\onboarding\IdentityQuestionsSlide.jsx          | JavaScript JSX   |         91 |          2 |          8 |        101 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\contexts\AuthContext.jsx                                  | JavaScript JSX   |        131 |          1 |         27 |        159 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\contexts\ModalContext.jsx                                 | JavaScript JSX   |         18 |          1 |          7 |         26 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\Canvas.jsx                        | JavaScript JSX   |         13 |          0 |          3 |         16 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\Canvas\Canvas.jsx                 | JavaScript JSX   |         54 |          0 |          3 |         57 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\Menu.css                          | PostCSS          |         52 |          0 |          8 |         60 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\Menu.jsx                          | JavaScript JSX   |          1 |          0 |          1 |          2 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\Menu\Menu.jsx                     | JavaScript JSX   |         25 |          0 |          3 |         28 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\ProfileMenu.css                   | PostCSS          |         44 |          0 |          7 |         51 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\ProfileMenu.jsx                   | JavaScript JSX   |         33 |          0 |          5 |         38 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\ProfileMenu\ProfileMenu.jsx       | JavaScript JSX   |         12 |          0 |          2 |         14 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\StatusBar.css                     | PostCSS          |         12 |          0 |          3 |         15 |
